English,Filipino
Only,Lamang
Even,Kahit
Very,Napak
Too,Masyado
Enough,Sapat
Able,Kayang
Ready,Handa
Busy,Abala
Free (not busy),Libre
Sick,May sakit
Healthy,Malusog
Strong (well-built),Matipuno
Tired (adj),Pagod
Hungry,Gutom
Thirsty,Nauuhaw
Tall,Mataas (height)
Short (height),Maliit
Thin,Manipis
Thick,Makapal
Wide,Malawak
Narrow,Makipot
Deep,Malalim
Shallow,Mababaw
True,Totoo
False,Mali
Correct,Tama
Wrong,Mali
Certain,Tiyak
Possible,Maaari
Necessary,Kailangan
Important,Mahalaga
Safe,Ligtas
Dangerous,Mapanganib
Quiet,Tahimik
Loud,Malakas
Sweet,Matamis
Sour,Maasim
Bitter,Mapait
Salty,Maalat
Spicy,Maanghang
Beautiful,Maganda
Ugly,Pangit
Funny,Nakakatawa
Serious,Seryoso
Kind,Mabait
Rude,Bastos
Polite,Magalang
Angry (adj),Galit
Afraid (adj),Takot
Happy (adj),Masaya
Excited,Excited
Bored (adj),Naiinip
Surprised (adj),Nagulat
Sad (adj),Malungkot
Tired (adj),Pagod
Tears,Luha
Laugh,Tumawa
Smile (verb),Ngumiti
Cry (verb),Umiyak
Hurt (verb),Saktan
Wait (verb),Maghintay
Listen (verb),Makinig
Sing (verb),Kumanta
Dance (verb),Sumayaw
Play (verb),Maglaro
Hurry (verb),Magmadali
Stay (verb),Manatili
Sit (verb),Umupo
Stand (verb),Tumayo
Lie down (verb),Humiga
Look at (verb),Tingnan
Watch (verb),Manood
Hear (verb),Makinig
Touch (verb),Hawakan
Smell (verb),Amuyin
Taste (verb),Tikman
Think (verb),Mag-isip
Believe (verb),Maniwala
Remember (verb),Tandaan
Forget (verb),Kalimutan
Try (verb),Subukan
Decide (verb),Magdesisyon
Change (verb),Palitan
Help (verb),Tulungan
Win (verb),Manalo
Lose (verb),Matatalo
Meet (verb),Makipagkita
Invite (verb),Mag-imbita
Visit (verb),Bumisita
Thank (verb),Pasalamatan
Love (verb),Mahalin
Miss (verb),Mami-miss
Hope (verb),Umasa
Wish (verb),Hilingin
Agree (verb),Sumang-ayon
Buy (verb),Bumili
Sell (verb),Magbenta
Open (verb),Buksan
Close (verb),Isara
Start (verb),Magsimula
Stop (verb),Itigil
Finish (verb),Tapusin
Clean (verb),Linisin
Dirty (verb),Dumumi
Break (verb),Baliin
Fix (verb),Ayusin
Catch (verb),Huliin
Throw (verb),Ihagis
Bring (verb),Magdala
Take (verb),Kumuha
Wear (verb),Magsuot
Cut (verb),Gupitin
Fill (verb),Punuin
Empty (verb),Ubusin
Find (verb),Hanapin
Lose (verb),Mawalan
Write (verb),Magsulat
Read (verb),Magbasa
Learn (verb),Matuto
Teach (verb),Magturo
Cook (verb),Magluto
Eat (verb),Kumain
Drink (verb),Uminom
Sleep (verb),Matulog
Wake up (verb),Gumising
Go out (verb),Lumabas
Come in (verb),Pumasok
Hurry up (verb),Bilisan
Wait for (verb),Hintayin
Call (verb),Tumawag
Answer (verb),Sagutin
Ask (verb),Magtanong
Explain (verb),Magpaliwanag
Understand (verb),Maintindihan
Worry (verb),Mag-alala
Feel (verb),Maramdaman
Be (verb),Maging
Have (verb),Magkaroon
Do (verb),Gumawa
Say (verb),Sabihin
Tell (verb),Magkuwento
See (verb),Makita
Go (verb),Pumunta
Come (verb),Pumunta
Make (verb),Gumawa
Know (verb),Alamin
Think (verb),Mag-isip
Take (verb),Kunin
Look (verb),Tumingin
Want (verb),Gusto
Give (verb),Ibigay
Use (verb),Gamitin
Find (verb),Hanapin
Need (verb),Kailangan
Work (verb),Magtrabaho
Become (verb),Maging
Leave (verb),Umalis
Put (verb),Ilagay
Mean (verb),Ibig sabihin
Keep (verb),Panatilihin
Let (verb),Hayaan
Begin (verb),Magsimula
Seem (verb),Mukhang
Help (verb),Tulungan
Talk (verb),Magsalita
Turn (verb),Lumingon
Start (verb),Magsimula
Show (verb),Ipakita
Hear (verb),Marinig
Play (verb),Maglaro
Run (verb),Tumakbo
Move (verb),Gumagalaw
Live (verb),Mabuhay
Believe (verb),Maniwala
Hold (verb),Hawakan
Bring (verb),Dalhin
Happen (verb),Mangyari
Must (modal),Dapat
Should (modal),Dapat
Can (modal),Maaari
Could (modal),Baka
Will (modal),Ay 
Would (modal),Gawin
May (modal),Baka
Might (modal),Maaaring
